Date,Close
6/11/2018 16:00:00,370.94
6/12/2018 16:00:00,370.62
6/13/2018 16:00:00,363.85
6/14/2018 16:00:00,362.42
6/15/2018 16:00:00,357.88
6/18/2018 16:00:00,354.74
6/19/2018 16:00:00,341.12
6/20/2018 16:00:00,342.69
6/21/2018 16:00:00,337.66
6/22/2018 16:00:00,338.91
6/25/2018 16:00:00,331.2
6/26/2018 16:00:00,331.3
6/27/2018 16:00:00,329.82
6/28/2018 16:00:00,334.65
6/29/2018 16:00:00,335.51
7/2/2018 16:00:00,336.08
7/3/2018 13:00:00,332.93
7/5/2018 16:00:00,333.18
7/6/2018 16:00:00,334.64
7/9/2018 16:00:00,341.92
7/10/2018 16:00:00,347.16
7/11/2018 16:00:00,340.6
7/12/2018 16:00:00,346.03
7/13/2018 16:00:00,350.79
7/16/2018 16:00:00,356.1
7/17/2018 16:00:00,356.88
7/18/2018 16:00:00,360.23
7/19/2018 16:00:00,355.33
7/20/2018 16:00:00,354.9
7/23/2018 16:00:00,353.27
7/24/2018 16:00:00,358.27
7/25/2018 16:00:00,355.92
7/26/2018 16:00:00,359.32
7/27/2018 16:00:00,360.65
7/30/2018 16:00:00,351.06
7/31/2018 16:00:00,356.3
8/1/2018 16:00:00,352.76
8/2/2018 16:00:00,349.73
8/3/2018 16:00:00,348.44
8/6/2018 16:00:00,346.57
8/7/2018 16:00:00,350.76
8/8/2018 16:00:00,347.78
8/9/2018 16:00:00,343.72
8/10/2018 16:00:00,339.41
8/13/2018 16:00:00,338.36
8/14/2018 16:00:00,339.14
8/15/2018 16:00:00,331.76
8/16/2018 16:00:00,345.98
8/17/2018 16:00:00,346.4
8/20/2018 16:00:00,350.74
8/21/2018 16:00:00,353.77
8/22/2018 16:00:00,350.03
8/23/2018 16:00:00,347.48
8/24/2018 16:00:00,349.38
8/27/2018 16:00:00,353.74
8/28/2018 16:00:00,351.21
8/29/2018 16:00:00,350.19
8/30/2018 16:00:00,346.9
8/31/2018 16:00:00,342.79
9/4/2018 16:00:00,346.25
9/5/2018 16:00:00,346.68
9/6/2018 16:00:00,351.27
9/7/2018 16:00:00,349.28
9/10/2018 16:00:00,341.86
9/11/2018 16:00:00,345.25
9/12/2018 16:00:00,353.41
9/13/2018 16:00:00,355.46
9/14/2018 16:00:00,359.8
9/17/2018 16:00:00,355.96
9/18/2018 16:00:00,363.58
9/19/2018 16:00:00,365.22
9/20/2018 16:00:00,367.46
9/21/2018 16:00:00,372.23
9/24/2018 16:00:00,367.99
9/25/2018 16:00:00,367.23
9/26/2018 16:00:00,365.03
9/27/2018 16:00:00,367.39
9/28/2018 16:00:00,371.9
10/1/2018 16:00:00,382.29
10/2/2018 16:00:00,386.37
10/3/2018 16:00:00,392.3
10/4/2018 16:00:00,389.99
10/5/2018 16:00:00,386.47
10/8/2018 16:00:00,385.77
10/9/2018 16:00:00,385.44
10/10/2018 16:00:00,367.47
10/11/2018 16:00:00,358.11
10/12/2018 16:00:00,360.11
10/15/2018 16:00:00,358.88
10/16/2018 16:00:00,368.25
10/17/2018 16:00:00,365.5
10/18/2018 16:00:00,359.35
10/19/2018 16:00:00,356.26
10/22/2018 16:00:00,355.98
10/23/2018 16:00:00,350.05
10/24/2018 16:00:00,354.65
10/25/2018 16:00:00,363.77
10/26/2018 16:00:00,359.27
10/29/2018 16:00:00,335.59
10/30/2018 16:00:00,349.91
10/31/2018 16:00:00,354.86
11/1/2018 16:00:00,363.07
11/2/2018 16:00:00,357.75
11/5/2018 16:00:00,361.98
11/6/2018 16:00:00,366.47
11/7/2018 16:00:00,372.02
11/8/2018 16:00:00,370.77
11/9/2018 16:00:00,369.34
11/12/2018 16:00:00,357.03
11/13/2018 16:00:00,349.51
11/14/2018 16:00:00,344.72
11/15/2018 16:00:00,341.57
11/16/2018 16:00:00,335.95
11/19/2018 16:00:00,320.94
11/20/2018 16:00:00,317.7
11/21/2018 16:00:00,317.32
11/23/2018 13:00:00,312.32
11/26/2018 16:00:00,316.36
11/27/2018 16:00:00,318.03
11/28/2018 16:00:00,333.5
11/29/2018 16:00:00,342.56
11/30/2018 16:00:00,346.76
12/3/2018 16:00:00,359.96
12/4/2018 16:00:00,342.5
12/6/2018 16:00:00,331.9
12/7/2018 16:00:00,323.22
12/10/2018 16:00:00,326.35
12/11/2018 16:00:00,322.03
12/12/2018 16:00:00,326.69
12/13/2018 16:00:00,325.47
12/14/2018 16:00:00,318.75
12/17/2018 16:00:00,316.13
12/18/2018 16:00:00,328.06
12/19/2018 16:00:00,319.55
12/20/2018 16:00:00,313.05
12/21/2018 16:00:00,304.55
12/24/2018 13:00:00,294.16
12/26/2018 16:00:00,313.93
12/27/2018 16:00:00,317.14
12/28/2018 16:00:00,316.38
12/31/2018 16:00:00,322.5
1/2/2019 16:00:00,323.81
1/3/2019 16:00:00,310.9
1/4/2019 16:00:00,327.08
1/7/2019 16:00:00,328.11
1/8/2019 16:00:00,340.53
1/9/2019 16:00:00,343.83
1/10/2019 16:00:00,352.61
1/11/2019 16:00:00,352.9
1/14/2019 16:00:00,350.36
1/15/2019 16:00:00,352.24
1/16/2019 16:00:00,352.06
1/17/2019 16:00:00,359.09
1/18/2019 16:00:00,364.73
1/22/2019 16:00:00,357.9
1/23/2019 16:00:00,358.61
1/24/2019 16:00:00,358.27
1/25/2019 16:00:00,364.2
1/28/2019 16:00:00,362.97
1/29/2019 16:00:00,364.91
1/30/2019 16:00:00,387.72
1/31/2019 16:00:00,385.62
2/1/2019 16:00:00,387.43
2/4/2019 16:00:00,397
2/5/2019 16:00:00,410.18
2/6/2019 16:00:00,411.11
2/7/2019 16:00:00,405.17
2/8/2019 16:00:00,404.91
2/11/2019 16:00:00,403.95
2/12/2019 16:00:00,410.72
2/13/2019 16:00:00,410.58
2/14/2019 16:00:00,409.82
2/15/2019 16:00:00,417.97
2/19/2019 16:00:00,416.26
2/20/2019 16:00:00,421.55
2/21/2019 16:00:00,417.58
2/22/2019 16:00:00,424.05
2/25/2019 16:00:00,426.87
2/26/2019 16:00:00,426.77
2/27/2019 16:00:00,435.44
2/28/2019 16:00:00,439.96
3/1/2019 16:00:00,440.62
3/4/2019 16:00:00,432.69
3/5/2019 16:00:00,430.12
3/6/2019 16:00:00,424.46
3/7/2019 16:00:00,422.56
3/8/2019 16:00:00,422.54
3/11/2019 16:00:00,400.01
3/12/2019 16:00:00,375.41
3/13/2019 16:00:00,377.14
3/14/2019 16:00:00,373.3
3/15/2019 16:00:00,378.99
3/18/2019 16:00:00,372.28
3/19/2019 16:00:00,373.43
3/20/2019 16:00:00,376.16
3/21/2019 16:00:00,372.7
3/22/2019 16:00:00,362.17
3/25/2019 16:00:00,370.46
3/26/2019 16:00:00,370.38
3/27/2019 16:00:00,374.21
3/28/2019 16:00:00,374.44
3/29/2019 16:00:00,381.42
4/1/2019 16:00:00,391.54
4/2/2019 16:00:00,390.75
4/3/2019 16:00:00,384.74
4/4/2019 16:00:00,395.86
4/5/2019 16:00:00,391.93
4/8/2019 16:00:00,374.52
4/9/2019 16:00:00,369.04
4/10/2019 16:00:00,364.94
4/11/2019 16:00:00,370.16
4/12/2019 16:00:00,379.64
4/15/2019 16:00:00,375.46
4/16/2019 16:00:00,381.72
4/17/2019 16:00:00,377.52
4/18/2019 16:00:00,380.07
4/22/2019 16:00:00,375.17
